Канал;Дата;Тематика;Текст;Посилання
@bucha_city;2026-09-20 14:50;👐 Реабілітація;🌿 У Бучі щотижня проходять безкоштовні заняття «Стійкість у саморозвитку». Навчитися вести сторінку в Instagram, створювати Stories та відео, працювати з презентаціями або зробити перший крок до реалізації власної ідеї – цьому навчають під час занять...;https://t.me/bucha_city/51632
@bucha_city;2026-09-15 16:22;🏗️ Інфраструктура;"🌱Еко-клас у Бучі: хто і як може ним скористатись. Екологічний клас у Бучанській громаді – це безоплатний простір для освітніх, молодіжних та екологічних заходів. Простір можна використовувати для: 🔸занять з екологічної освіти та садівництва; 🔸майстер...";https://t.me/bucha_city/51389
@bucha_city;2026-09-13 13:01;👐 Реабілітація;🏥 У Бучі працює відділення амбулаторної комплексної реабілітації. У Бучанському консультативно-діагностичному центрі можна пройти комплексну реабілітацію після поранень, операцій, інсультів, травм та при захворюваннях опорно-рухового апарату. У відді...;https://t.me/bucha_city/51316
@bucha_city;2026-09-12 06:44;👐 Реабілітація;🔴 Масована атака по Україні: ворог випустив ракети та понад 100 дронів. Є загиблі та десятки поранених, серед них – діти. Зафіксовано влучання у 20 локаціях. Більшість цілей знешкодила ППО, однак є постраждалі. Наслідки по регіонах: 🔸Одещина: 21 пора...;https://t.me/bucha_city/51264
@bucha_city;2026-09-09 08:32;⚽ Спорт | 👐 Реабілітація | 🤝 Загальна безбар'єрність;👁️Безоплатні послуги адаптації для ветеранів і ветеранок, які втратили зір. Міністерство у справах ветеранів України продовжило на 2026 рік реалізацію ініціативи із соціальної та побутової адаптації для Захисників з частковою або повною втратою зору....;https://t.me/bucha_city/51143
@bucha_city;2026-09-08 14:59;👐 Реабілітація;💪 Стійкість у саморозвитку: вчимося створювати відео для соцмереж. Хочете навчитися створювати якісні та цікаві відео для Instagram, TikTok та інших соціальних мереж просто зі смартфона? Бучанський центр життєстійкості запрошує на інформаційну сесію ...;https://t.me/bucha_city/51116
@bucha_city;2026-09-04 07:10;👐 Реабілітація;🫶 Єдина система турботи: у Бучанській громаді об’єднують зусилля медиків та фахівців із супроводу для підтримки ветеранів. У просторі «Ветеран ПРО» відбулася зустріч за участі заступниці Бучанського міського голови Людмили Риженко, очільника простору...;https://t.me/bucha_city/50955
@bucha_city;2026-09-01 10:29;⚽ Спорт | 🤝 Загальна безбар'єрність;Бучанські ветерани – серед найкращих! 🇺🇦💪 159 спортсменів – ветеранів війни, учасників бойових дій, військовослужбовців та представників силових структур з усієї України – зійшлися у національному відборі до офіційної збірної України на міжнародні зм...;https://t.me/bucha_city/50858
@bucha_city;2026-08-31 13:30;🤝 Загальна безбар'єрність;✨ Простір рівних можливостей: у Бучі відбулося засідання спільноти вихователів інклюзивних груп. Освітяни Бучанської громади розпочали підготовку до нового навчального року. Головна мета зустрічі – об'єднати педагогів та задати вектор для формування ...;https://t.me/bucha_city/50821
@bucha_city;2026-08-25 06:21;⚽ Спорт;🏔️«Друге дихання»: у Бучі до Дня Незалежності України відбувся показ документального фільму – історії п’ятьох українських військовослужбовців, які зазнали тяжких поранень на фронті, але знайшли в собі сили знову кинути собі виклик і підкорити Кіліман...;https://t.me/bucha_city/50530
@bucha_city;2026-08-20 10:15;🏗️ Інфраструктура;⚠️ Завтра, 21 серпня, у Бучанському консультативно-діагностичному центрі буде обмежений прийом пацієнтів. У медцентрі проводитимуть ремонтні роботи – зокрема, монтаж лінолеуму. Нагадуємо, наразі в закладі триває капітальний ремонт, спрямований на ств...;https://t.me/bucha_city/50362
@bucha_city;2026-08-18 16:46;🤝 Загальна безбар'єрність;«Новий старт: можливості для ВПО в Бучанській громаді». У Бучанській громаді відбувся інформаційний захід, присвячений підтримці внутрішньо переміщених осіб та можливостям для їхнього розвитку. Учасники говорили про працевлаштування, навчання, започа...;https://t.me/bucha_city/50294
@bucha_city;2026-08-18 08:35;👐 Реабілітація;🫂 У Бучанській громаді працюють фахівці із супроводу учасників бойових дій та демобілізованих осіб. Уже 508 ветеранів у громаді отримують супровід. Фахівці працюють у всіх старостинських округах та допомагають ветеранам, ветеранкам і їхнім родинам ви...;https://t.me/bucha_city/50279
@bucha_city;2026-08-17 16:14;⚽ Спорт;🏆 Три медалі для Бучі на рейтингових змаганнях «Звитяга Нескорених» у Львові. Представники Бучанської громади гідно представили Київщину на змаганнях з адаптивного спорту. 🔸Дмитро Старіков виборов два перших місця: у жимі лежачи та у веслуванні на тр...;https://t.me/bucha_city/50265
@bucha_city;2026-08-16 13:05;👐 Реабілітація;💛«П’ятничні посиденьки»: щоп’ятниці у Бучанському центрі життєстійкості проходять ресурсні кола для жінок. Це простір для відпочинку, щирого спілкування, підтримки та відновлення. Під час зустрічей учасниці говорять про емоційний стан, стосунки, само...;https://t.me/bucha_city/50233
@bucha_city;2026-08-13 10:02;👐 Реабілітація;🏇Іпотерапія – час для відновлення та позитивних емоцій Ветерани та їхні діти провели час на сеансі іпотерапії, який організував ветеранський простір «Ветеран ПРО» спільно з відділенням реабілітації Бучанського консультативно-діагностичного центру. До...;https://t.me/bucha_city/50101
@bucha_city;2026-08-12 17:55;⚽ Спорт | 👐 Реабілітація | 🏗️ Інфраструктура;♿️Доступність як стандарт: у Бучі проінспектували новий державний Ветеранський простір, який перебуває на етапі будівництва. Для того, аби майбутній осередок був максимально зручним та відповідав усім інклюзивним вимогам, на обʼєкті провели виїзну пе...;https://t.me/bucha_city/50087
@bucha_city;2026-08-11 06:30;👐 Реабілітація;🔑 «Ключ до себе»: у Бучанському центрі життєстійкості відбулися «П’ятничні посиденьки». Цього разу учасниці долучилися до тренінгу, присвяченого самопізнанню, внутрішнім потребам та пошуку власних опор. Під час зустрічі говорили про те, що іноді стра...;https://t.me/bucha_city/50031
